household_key,pred_purchases_6m,clv_6m,churn_prob,frequency,recency,monetary,total_net_revenue
1002,8.050386662,257.6455398,0.9929244927,30,21,973.93,973.93
955,44.63796691,639.3802514,0.004671983535,274,21,4053.69,4053.69
216,29.03867426,616.5951128,0.9588269505,120,21,2624.5,2624.5
1966,36.49230886,1456.97556,0.003819941102,129,21,5307.89,5307.89
1885,3.710509753,77.03643111,0.9735337278,13,21,265.35,265.35
2202,5.117675799,91.1433047,0.9544950495,18,21,319.9,319.9
2214,4.252547315,128.8713874,0.01709381789,15,21,450.87,450.87
792,6.485974644,94.52380529,0.004082733813,23,21,337.11,337.11
1817,13.51551274,282.3356704,0.02964203721,48,21,1024.72,1024.72
1592,14.61825379,651.3388453,0.01331170749,52,21,2371.59,2371.59
2344,15.99681889,737.0103034,0.005583016254,57,21,2690.84,2690.84
1753,0.4870121217,3.062759127,0.01451257741,456,21,2964.05,2964.05
344,13.26651943,604.8522126,0.9936183911,48,21,2237.91,2237.91
668,15.60813869,307.7894314,0.01002202872,57,21,1151.04,1151.04
1129,19.88310275,636.9750519,0.01319792642,73,21,2401.41,2401.41
694,40.85169409,452.0451324,0.01198490277,154,21,1756.64,1756.64
2288,41.3899184,535.1908713,0.005137808562,157,21,2093.06,2093.06
30,7.557249071,166.0676301,0.03904858814,28,21,622.8,622.8
1792,33.54889418,811.5459714,0.02837045959,126,21,3140.33,3140.33
818,13.90224664,450.5313669,0.005062354589,52,21,1724.59,1724.59
930,11.42758272,251.8084583,0.984162521,43,21,966.88,966.88
820,49.95801916,1071.258462,0.01,208,21,4603.98,4603.98
286,10.8794194,323.9314139,0.008051409948,41,21,1245.24,1245.24
520,29.51096792,530.0711665,0.01114974827,112,21,2071.15,2071.15
2125,29.26656756,1215.431583,0.01,113,21,4833.29,4833.29
2000,15.83581554,140.0778555,0.02115429325,61,21,552.29,552.29
1622,26.76799171,942.9586032,0.006867349198,106,21,3844.31,3844.31
753,12.67129157,539.2893583,0.005062354589,50,21,2177.13,2177.13
2258,12.31372538,387.0248047,0.01634390899,49,21,1574.94,1574.94
609,39.82978597,397.270315,0.002294087923,162,21,1665.89,1665.89
451,38.83160914,555.8018693,0.002294087923,161,21,2376.28,2376.28
988,46.01895653,1389.712299,0.73,196,21,6109.18,6109.18
603,43.75580545,750.2142718,0.004512577414,182,22,3219.5,3219.5
2264,9.77808776,509.4823261,0.007713687986,315,22,16960.59,16960.59
360,10.43062764,124.1101102,0.004082733813,37,22,447.6,447.6
1126,7.839238728,702.4380009,0.9927945377,28,22,2543.36,2543.36
1691,13.85781972,618.6409572,0.01,50,22,2283.69,2283.69
431,9.945512468,144.4711918,0.03265056941,36,22,531.67,531.67
211,30.62350648,595.9499733,0.006322651129,112,22,2244.06,2244.06
1829,12.79923644,256.1986139,0.004671983535,320,22,6618.55,6618.55
1443,45.89890538,543.0993454,0.005137808562,182,22,2221.48,2221.48
777,10.88483,732.3601181,0.01805140995,40,22,2745.75,2745.75
197,14.89811419,510.2879696,0.02456569525,55,22,1929.23,1929.23
1406,30.99701369,983.377011,0.01132265113,116,22,3790.44,3790.44
1417,20.14029704,968.2674452,0.02431971703,75,22,3703.93,3703.93
1531,12.02803714,256.2526222,0.9916397819,45,22,978.91,978.91
1671,10.15547326,372.5179856,0.9928265953,38,22,1420.41,1420.41
1785,19.99219635,403.8754733,0.05868993824,75,22,1555.7,1555.7
974,11.45915972,520.1588207,0.03885268299,43,22,1993.06,1993.06
2066,29.49945373,547.9232838,0.04880380241,112,22,2141.78,2141.78
1357,22.8267198,781.3030114,0.005951255848,87,22,3061.9,3061.9
1027,10.70367511,272.6115149,0.03762384276,41,22,1064.99,1064.99
498,15.0319029,228.8630831,0.885,58,22,904.18,904.18
838,8.254302357,97.88883597,0.009082733813,32,22,384.69,384.69
2377,20.57452461,270.5525751,0.006322651129,82,22,1107.54,1107.54
843,18.52664962,638.5113642,0.01319792642,74,22,2619.23,2619.23
350,25.56932313,743.6273971,0.006258469119,103,22,3083.25,3083.25
200,19.91046217,282.7170587,0.9295196036,80,22,1166.63,1166.63
134,21.7948934,1364.085408,0.007354771784,86,23,5535.09,5535.09
827,4.855586442,79.23907096,0.9820193373,20,23,326.88,326.88
747,37.78589201,314.7238422,0.01482709714,136,23,1166.73,1166.73
2036,14.05207207,1139.265554,0.006094475244,49,23,4064.45,4064.45
1721,4.845985012,97.18786376,0.03624871631,17,23,339.59,339.59
348,35.10832077,801.0149438,0.04121418023,126,23,2961.83,2961.83
429,12.1777647,150.8165393,0.02290561737,43,23,542.89,542.89
2216,9.596887309,126.3738292,0.01709381789,34,23,454.57,454.57
901,21.33752937,756.1808065,0.9838662323,76,23,2766.7,2766.7
2196,18.21679205,315.1775169,0.008799497465,65,23,1153.05,1153.05
1891,10.54538904,366.2234059,0.01311339738,38,23,1344.71,1344.71
750,13.41195009,160.4255305,0.006322651129,49,23,598.62,598.62
939,40.1954114,1329.883808,0.003819941102,154,23,5254.66,5254.66
1991,12.22486415,85.39249356,0.03855090287,45,23,320.14,320.14
1395,10.83344523,303.4619309,0.9875191017,40,23,1142.42,1142.42
276,43.26866664,1395.996555,0.003819941102,173,23,5758.71,5758.71
564,13.8533595,219.4683706,0.01876173218,52,23,842.45,842.45
464,42.91364502,863.3539124,0.01467198353,173,23,3590.49,3590.49
1661,11.40244561,361.7298556,0.9986899382,44,23,1425.4,1425.4
1634,21.57418707,1139.481939,0.008677422913,85,23,4616.14,4616.14
1877,16.20490636,487.5964896,0.9591639167,64,23,1975.04,1975.04
1679,11.85569081,68.3928496,0.9895150316,47,23,276.13,276.13
2346,7.56218465,303.1860786,0.9881698669,30,23,1220.38,1220.38
1581,16.18737414,712.8321547,0.03217416446,28,24,1249.26,1249.26
597,25.42595804,945.266274,0.4386774229,100,24,3826.25,3826.25
437,21.98250591,1404.65665,0.9246423896,90,24,5915.73,5915.73
1913,11.90695346,212.9757223,0.01857128751,49,24,895.76,895.76
2118,8.298708062,312.6829287,0.9988707484,29,24,1107.79,1107.79
959,16.94527347,296.2657123,0.9982649151,60,24,1074.69,1074.69
837,10.16017548,220.0729195,0.9721120714,36,24,793.38,793.38
1397,11.97156319,233.7269462,0.007713687986,283,24,5707.6,5707.6
849,16.90059889,1222.408019,0.008677422913,62,24,4599.52,4599.52
1589,4.861254873,92.41007703,0.8626235878,18,24,341.54,341.54
1204,21.82911899,535.8535987,0.003616739052,81,24,2043.13,2043.13
2358,20.65599297,616.6698544,0.0178151539,79,24,2423.25,2423.25
1148,6.624457147,120.7405302,0.9894199834,26,24,478.59,478.59
1936,0.1918201303,2.015768841,0.01349192464,463,24,5029.86,5029.86
2192,7.040615134,117.9879703,0.02379108631,29,25,492.03,492.03
